hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,dataset_role
138,3.329,1.036,2.293,up,400,0.05,20,7.913999999999997,1.64,0.009165151389911485,0.0,0.09999999999999787,0.0,True,single_design_dataset
139,4.313,3.329,0.9839999999999995,up,400,0.05,20,11.974999999999998,2.2400000000000007,0.008660254037844203,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
140,2.999,4.313,-1.3139999999999996,down,400,0.05,20,7.740000000000002,1.4400000000000002,1.7763568394002505e-15,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
141,3.422,2.999,0.42300000000000004,up,400,0.05,20,8.72,1.7,0.0,0.0,0.0,0.0,True,single_design_dataset
142,5.661,3.422,2.2389999999999994,up,400,0.05,20,18.904000000000003,3.04,0.013564659966251714,0.0,0.2000000000000135,0.0,True,single_design_dataset
143,6.664,5.661,1.0030000000000001,up,400,0.05,20,24.507999999999996,3.6399999999999997,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
144,5.197,6.664,-1.4669999999999996,down,400,0.05,20,18.579999999999995,2.7599999999999993,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
145,4.519,5.197,-0.6779999999999999,down,400,0.05,20,15.217000000000002,2.36,0.007141428428543332,0.0,-0.10000000000000675,0.0,True,single_design_dataset
146,2.684,4.519,-1.835,down,400,0.05,20,7.3100000000000005,1.2600000000000002,0.010000000000000231,2.220446049250313e-16,-0.10000000000000231,0.0,True,single_design_dataset
147,1.147,2.684,-1.5370000000000001,down,400,0.05,20,2.706,0.3350000000000001,0.014282856857085711,0.008660254037844393,-0.20000000000000018,-0.10000000000000009,True,single_design_dataset
148,2.975,1.147,1.828,up,400,0.05,20,7.0,1.4200000000000004,0.0,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
149,2.144,2.975,-0.831,down,400,0.05,20,5.0169999999999995,0.9400000000000001,0.007141428428542699,1.1102230246251565e-16,0.0,0.0,True,single_design_dataset
150,4.894,2.144,2.75,up,400,0.05,20,14.888,2.5799999999999996,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
151,2.64,4.894,-2.254,down,400,0.05,20,6.773000000000001,1.2399999999999998,0.009539392014169677,2.220446049250313e-16,-0.10000000000000231,0.0,True,single_design_dataset
152,4.746,2.64,2.1060000000000003,up,400,0.05,20,14.300999999999998,2.5,0.0076811457478686875,0.0,0.20000000000000462,0.0,True,single_design_dataset
153,3.911,4.746,-0.8350000000000004,down,400,0.05,20,11.5,2.0,0.0,0.0,0.0,0.0,True,single_design_dataset
154,3.57,3.911,-0.3410000000000002,down,400,0.05,20,10.139999999999997,1.7999999999999996,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
155,2.654,3.57,-0.9159999999999999,down,400,0.05,20,6.919999999999999,1.2399999999999998,8.881784197001252e-16,2.220446049250313e-16,0.0,0.0,True,single_design_dataset
156,4.631,2.654,1.9770000000000003,up,400,0.05,20,13.765999999999996,2.4200000000000004,0.009165151389911483,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
157,6.647,4.631,2.016,up,400,0.05,20,24.331999999999994,3.6399999999999997,0.009797958971132503,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
158,5.895,6.647,-0.7520000000000007,down,400,0.05,20,21.959999999999997,3.18,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
159,3.254,5.895,-2.6409999999999996,down,400,0.05,20,9.508,1.6000000000000003,0.009797958971132503,2.220446049250313e-16,-0.09999999999999787,0.0,True,single_design_dataset
160,4.635,3.254,1.3809999999999998,up,400,0.05,20,14.462000000000003,2.4200000000000004,0.005999999999999872,4.440892098500626e-16,0.09999999999999787,0.0,True,single_design_dataset
161,7.107,4.635,2.4720000000000004,up,400,0.05,20,26.814999999999998,3.9200000000000004,0.012449899597988466,4.440892098500626e-16,0.19999999999999574,0.0,True,single_design_dataset
162,6.291,7.107,-0.8159999999999998,down,400,0.05,20,24.38,3.4200000000000004,0.0,4.440892098500626e-16,0.0,0.0,True,single_design_dataset
163,7.061,6.291,0.7699999999999996,up,400,0.05,20,27.119999999999997,3.879999999999999,3.552713678800501e-15,8.881784197001252e-16,0.0,0.0,True,single_design_dataset
164,6.049,7.061,-1.0119999999999996,down,400,0.05,20,23.759999999999998,3.28,3.552713678800501e-15,0.0,0.0,0.0,True,single_design_dataset
165,4.604,6.049,-1.4450000000000003,down,400,0.05,20,16.436000000000003,2.4200000000000004,0.007999999999999828,4.440892098500626e-16,-0.09999999999999787,0.0,True,single_design_dataset
