hold_id,branch,n_samples,full_modal_n,is_full_hold,u_prev_v,u_cmd_v,delta_u_v,duration_s,tail_n_samples,s_start_mm,s_terminal_mm,p_start_bar,p_terminal_bar,displacement_step_mm,s_terminal_sd_mm,p_terminal_sd_bar,s_terminal_slope_mm_s,p_terminal_slope_bar_s,accepted_for_creep,exclusion_reason
53,down,400,400,TRUE,5.064,2.014,-3.0500000000000003,4,20,15.36,4.695,2.68,0.86,-10.665,0.008885233166386591,0,-0.11278195488721915,0,TRUE,NA
54,up,400,400,TRUE,2.014,2.705,0.6910000000000003,4,20,4.68,6.08,0.86,1.26,1.4000000000000004,0,0,0,0,TRUE,NA
55,up,400,400,TRUE,2.705,4.668,1.963,4,20,6.08,13.341,1.26,2.46,7.260999999999999,0.004472135954999484,0,0.02857142857139994,0,TRUE,NA
56,down,400,400,TRUE,4.668,2.508,-2.16,4,20,13.36,6.093999999999999,2.46,1.16,-7.266,0.009403246919632345,0,-0.12330827067668741,0,TRUE,NA
57,down,400,400,TRUE,2.508,2.133,-0.375,4,20,6.08,4.9,1.16,0.94,-1.1799999999999997,0,0,0,0,TRUE,NA
58,down,400,400,TRUE,2.133,1.656,-0.4770000000000001,4,20,4.9,3.55,0.94,0.64,-1.3500000000000005,0.01025978352085155,0,-0.11428571428571857,0,TRUE,NA
59,up,400,400,TRUE,1.656,4.739,3.083,4,20,3.54,13.46,0.64,2.48,9.920000000000002,0.011239029738980586,0,0.15338345864664701,0,TRUE,NA
60,up,400,400,TRUE,4.739,5.423,0.6840000000000002,4,20,13.48,17.188,2.5,2.9,3.7079999999999984,0.010052493799000478,0,0.14436090225561896,0,TRUE,NA
61,down,400,400,TRUE,5.423,4.433,-0.9900000000000002,4,20,17.2,13.52,2.9,2.3,-3.6799999999999997,0,0,0,0,TRUE,NA
62,up,400,400,TRUE,4.433,5.897,1.4640000000000004,4,20,13.52,19.946,2.3,3.1820000000000004,6.426000000000002,0.009403246919632345,0.00615587011251093,0.12631578947370095,-0.04210526315789614,TRUE,NA
63,down,400,400,TRUE,5.897,4.771,-1.1260000000000003,4,20,19.96,15.56,3.18,2.509,-4.4,0,0.010208355710680819,0,0.03157894736842513,TRUE,NA
64,up,400,400,TRUE,4.771,6.843,2.072,4,20,15.56,24.96,2.52,3.76,9.4,0.014509525002199923,0,0.22556390977441435,0,TRUE,NA
65,down,400,400,TRUE,6.843,4.691,-2.152,4,20,24.98,15.78,3.76,2.46,-9.200000000000001,0,0,0,0,TRUE,NA
66,up,400,400,TRUE,4.691,6.694,2.003,4,20,15.78,24.509999999999998,2.46,3.66,8.729999999999999,0.010259783520851322,0,0.15037593984965641,0,TRUE,NA
67,up,400,400,TRUE,6.694,7.136,0.44200000000000017,4,20,24.52,26.741,3.66,3.94,2.221,0.004472135955000279,0,0.028571428571453793,0,TRUE,NA
68,down,400,400,TRUE,7.136,4.958,-2.178,4,20,26.76,17.659,3.94,2.62,-9.101000000000003,0.004472135954999484,0,-0.028571428571434892,0,TRUE,NA
69,down,400,400,TRUE,4.958,3.767,-1.1910000000000003,4,20,17.64,11.741,2.62,1.92,-5.899000000000001,0.007880689256523955,0,-0.08270676691728897,0,TRUE,NA
70,up,400,400,TRUE,3.767,4.992,1.225,4,20,11.72,16.361,1.92,2.64,4.641,0.004472135954999484,0,0.028571428571406324,0,TRUE,NA
71,up,400,400,TRUE,4.992,5.405,0.41300000000000026,4,20,16.38,18.42,2.64,2.893,2.0400000000000027,0,0.009787209698591866,0,0.10977443609022665,TRUE,NA
72,up,400,400,TRUE,5.405,6.697,1.2919999999999998,4,20,18.42,24.836,2.88,3.68,6.415999999999997,0.008207826816681058,0,0.0962406015037565,0,TRUE,NA
73,down,400,400,TRUE,6.697,5.66,-1.037,4,20,24.86,21.1,3.68,3.04,-3.759999999999998,0,0,0,0,TRUE,NA
