hold_id,u_ss_v,u_prev_v,du_v,branch,n_samples,tail_fraction_used,tail_n_samples,s_ss_mm,p_ss_bar,s_tail_std_mm,p_tail_std_bar,s_tail_slope_mm_s,p_tail_slope_bar_s,steady_enough,u_ff_v,p_ff_bar,u_abs_error_v,p_abs_error_bar,dataset_role
20,1.62,2.857,-1.237,down,400,0.05,20,3.6399999999999997,0.6199999999999999,4.440892098500626e-16,1.1102230246251565e-16,0.0,0.0,True,1.439379461640721,0.5026175896573745,0.18062053835927916,0.11738241034262542,single_design_dataset
22,3.142,4.532,-1.3900000000000001,down,400,0.05,20,8.242,1.5399999999999998,0.005999999999999873,2.220446049250313e-16,-0.09999999999999787,0.0,True,2.902389149979025,1.383717484300135,0.23961085002097482,0.15628251569986484,single_design_dataset
23,2.808,3.142,-0.3340000000000001,down,400,0.05,20,7.06,1.34,0.0,0.0,0.0,0.0,True,2.5922647202102596,1.2024914937442635,0.21573527978974028,0.13750850625573663,single_design_dataset
25,3.212,3.745,-0.5329999999999999,down,400,0.05,20,8.319999999999999,1.5799999999999996,1.7763568394002505e-15,4.440892098500626e-16,0.0,0.0,True,2.9264659659616563,1.3979802361264613,0.2855340340383439,0.18201976387353835,single_design_dataset
26,2.608,3.212,-0.6040000000000001,down,400,0.05,20,6.4140000000000015,1.2199999999999998,0.009165151389911485,2.220446049250313e-16,-0.09999999999999787,0.0,True,2.40246352539091,1.0895659538305906,0.2055364746090902,0.13043404616940912,single_design_dataset
28,2.16,3.227,-1.0669999999999997,down,400,0.05,20,5.0,0.9400000000000001,0.0,1.1102230246251565e-16,0.0,0.0,True,1.8980516787145167,0.7814325753189276,0.2619483212854834,0.15856742468107243,single_design_dataset
31,5.135,6.804,-1.6690000000000005,down,400,0.05,20,17.68,2.7400000000000007,0.0,4.440892098500626e-16,0.0,0.0,True,4.884980406050449,2.5780756051694533,0.25001959394955087,0.16192439483054732,single_design_dataset
33,4.717,6.906,-2.189,down,400,0.05,20,16.038,2.4799999999999995,0.005999999999999873,4.440892098500626e-16,-0.09999999999999787,0.0,True,4.6005080563013765,2.413746114548797,0.11649194369862315,0.0662538854512027,single_design_dataset
36,3.634,5.709,-2.0749999999999997,down,400,0.05,20,10.919999999999998,1.8199999999999998,0.008944271909998969,2.220446049250313e-16,-0.19999999999999574,0.0,True,3.5008001989495776,1.7446480373791498,0.13319980105042228,0.07535196262085009,single_design_dataset
39,3.347,4.873,-1.5260000000000002,down,400,0.05,20,9.610999999999999,1.6599999999999997,0.009949874371065986,2.220446049250313e-16,-0.09999999999999787,0.0,True,3.1965743823477526,1.5660178651495833,0.15042561765224738,0.0939821348504164,single_design_dataset
41,2.013,3.736,-1.7230000000000003,down,400,0.05,20,4.892999999999999,0.86,0.009539392014169677,0.0,-0.10000000000000231,0.0,True,1.8608538256867677,0.7580993773079675,0.15214617431323219,0.10190062269203248,single_design_dataset
43,1.982,4.638,-2.6559999999999997,down,400,0.05,20,4.760000000000001,0.8400000000000001,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,True,1.8130279967341996,0.7278950142568952,0.16897200326580042,0.1121049857431049,single_design_dataset
