branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
down,1.94,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.95,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.96,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.97,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.98,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,1.99,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.0100000000000002,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.02,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.0300000000000002,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.04,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.05,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.06,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.07,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.08,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.09,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.1,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.11,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.12,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.13,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.14,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.15,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.16,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.17,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.18,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.19,0,0,single_exponential,2.2,3.99,3.99,pre_pressure_plateau_no_correction
down,2.2,0,0.0717106055885964,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.21,0.009999999999999787,0.0703622393859439,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.22,0.020000000000000018,0.06903922635666832,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.23,0.029999999999999805,0.06774108978799023,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.24,0.040000000000000036,0.06646736193070515,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.25,0.04999999999999982,0.06521758383064283,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.2600000000000002,0.06000000000000005,0.06399130516329486,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.27,0.06999999999999984,0.06278808407155262,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.2800000000000002,0.08000000000000007,0.06160748700649516,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.29,0.08999999999999986,0.060449088571171934,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.3000000000000003,0.10000000000000009,0.05931247136732167,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.31,0.10999999999999988,0.05819722584497443,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.32,0.11999999999999966,0.05710295015488073,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.33,0.1299999999999999,0.05602925000371593,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.34,0.13999999999999968,0.05497573851200721,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.35,0.1499999999999999,0.053942036074731414,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.36,0.1599999999999997,0.05292777022453483,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.37,0.16999999999999993,0.05193257549752401,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.38,0.17999999999999972,0.05095609330158093,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.39,0.18999999999999995,0.04999797178715338,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.4,0.19999999999999973,0.04905786572047568,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.41,0.20999999999999996,0.048135436359172445,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.42,0.21999999999999975,0.047230351330202064,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.43,0.22999999999999998,0.04634228451009452,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.44,0.23999999999999977,0.04547091590744177,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.45,0.25,0.04461593154759693,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.46,0.2599999999999998,0.0437770233595422,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.47,0.27,0.042953889064883205,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.48,0.2799999999999998,0.04214623206893136,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
down,2.49,0.29000000000000004,0.04135376135383345,single_exponential,2.2,3.99,3.99,calibrated_open_loop_hold
