branch,time_since_step_s,elapsed_after_creep_start_s,creep_fraction,selected_model,pressure_plateau_start_s,calibrated_horizon_s,runtime_horizon_s,interval
up,1.1,0.79,0.08702404250646649,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.11,0.8,0.08615612383139581,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.12,0.81,0.08529686118751882,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.1300000000000001,0.8200000000000001,0.08444616824546138,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.1400000000000001,0.8300000000000001,0.08360395953683984,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.1500000000000001,0.8400000000000001,0.0827701504456742,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.16,0.8499999999999999,0.08194465719988676,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.17,0.8599999999999999,0.0811273968628855,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.18,0.8699999999999999,0.08031828732523175,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.19,0.8799999999999999,0.07951724729639051,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.2,0.8899999999999999,0.0787241962965634,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.21,0.8999999999999999,0.07793905464860283,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.22,0.9099999999999999,0.07716174347000698,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.23,0.9199999999999999,0.0763921846649945,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.24,0.9299999999999999,0.0756303009166583,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.25,0.94,0.07487601567919756,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.26,0.95,0.07412925317022734,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.27,0.96,0.07338993836316467,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.28,0.97,0.07265799697969075,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.29,0.98,0.07193335548228828,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.3,0.99,0.07121594106685318,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.31,1,0.07050568165538008,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.32,1.01,0.06980250588872058,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.33,1.02,0.06910634311941403,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
up,1.34,1.03,0.06841712340458955,single_exponential,0.31,3.99,3.99,calibrated_open_loop_hold
