xref[mm],s[mm],p[bar],u[V],t[ms] 
5.000,1.925,4.000,0.820,10.000
5.000,1.931,4.000,0.820,10.000
5.000,1.926,4.000,0.820,10.000
5.000,1.932,4.000,0.820,10.000
5.000,1.927,4.000,0.820,10.000
5.000,1.932,4.000,0.820,10.000
5.000,1.928,4.000,0.820,10.000
5.000,1.933,4.000,0.820,10.000
5.000,1.928,4.000,0.820,10.000
5.000,1.934,4.000,0.820,10.000
5.000,1.929,4.000,0.820,10.000
5.000,1.935,4.000,0.820,10.000
5.000,1.930,4.000,0.820,10.000
5.000,1.935,4.000,0.820,10.000
5.000,1.931,4.000,0.820,10.000
5.000,1.936,4.020,0.820,10.000
5.000,1.921,4.020,0.820,10.000
5.000,1.926,4.020,0.820,10.000
5.000,1.922,4.020,0.820,10.000
5.000,1.927,4.020,0.820,10.000
5.000,1.923,4.020,0.820,10.000
5.000,1.928,4.020,0.820,10.000
5.000,1.923,4.020,0.820,10.000
5.000,1.928,4.020,0.820,10.000
5.000,1.924,4.020,0.820,10.000
5.000,1.929,4.020,0.820,10.000
5.000,1.925,4.020,0.820,10.000
5.000,1.929,4.020,0.820,10.000
5.000,1.925,4.020,0.820,10.000
5.000,1.930,4.020,0.820,10.000
5.000,1.926,4.020,0.820,10.000
5.000,1.931,4.020,0.820,10.000
5.000,1.926,4.020,0.820,10.000
5.000,1.931,4.020,0.820,10.000
5.000,1.927,4.020,0.820,10.000
5.000,1.932,4.020,0.820,10.000
5.000,1.928,4.020,0.820,10.000
5.000,1.932,4.020,0.820,10.000
5.000,1.928,4.020,0.820,10.000
5.000,1.933,4.020,0.820,10.000
5.000,1.929,4.020,0.820,10.000
5.000,1.933,4.020,0.820,10.000
5.000,1.930,4.020,0.820,10.000
5.000,1.934,4.020,0.820,10.000
5.000,1.930,4.020,0.820,10.000
5.000,1.935,4.020,0.820,10.000
5.000,1.931,4.020,0.820,10.000
5.000,1.935,4.020,0.820,10.000
5.000,1.932,4.020,0.820,10.000
5.000,1.936,4.020,0.820,10.000
5.000,1.932,4.020,0.820,10.000
5.000,1.937,4.020,0.820,10.000
5.000,1.933,4.020,0.820,10.000
5.000,1.937,4.020,0.820,10.000
5.000,1.934,4.020,0.820,10.000
5.000,1.938,4.020,0.820,10.000
5.000,1.934,4.020,0.820,10.000
5.000,1.938,4.020,0.820,10.000
5.000,1.935,4.020,0.820,10.000
5.000,1.939,4.020,0.820,10.000
5.000,1.936,4.020,0.820,10.000
5.000,1.940,4.020,0.820,10.000
5.000,1.936,4.020,0.820,10.000
5.000,1.940,4.020,0.820,10.000
5.000,1.937,4.020,0.820,10.000
5.000,1.941,4.020,0.820,10.000
5.000,1.938,4.020,0.820,10.000
5.000,1.941,4.020,0.820,10.000
5.000,1.938,4.020,0.820,10.000
5.000,1.942,4.020,0.820,10.000
5.000,1.939,4.020,0.820,10.000
5.000,1.942,4.020,0.820,10.000
5.000,1.940,4.020,0.820,10.000
5.000,1.943,4.020,0.820,10.000
5.000,1.940,4.020,0.820,10.000
5.000,1.944,4.020,0.820,10.000
