u[V],p[bar],s[mm] 
3.800,2.071,14.258
3.700,1.949,13.037
3.600,1.945,13.037
3.500,1.873,12.598
3.400,1.761,11.523
3.300,1.756,11.426
3.200,1.689,11.035
3.100,1.577,9.912
3.000,1.572,9.814
2.900,1.505,9.473
2.800,1.393,8.545
2.700,1.388,8.447
2.600,1.330,8.203
2.500,1.208,7.275
2.400,1.208,7.227
2.300,1.141,6.982
2.200,1.020,6.055
2.100,1.024,6.006
2.000,0.966,5.811
1.900,0.831,5.029
1.800,0.827,4.932
1.700,0.782,4.785
1.600,0.652,4.053
1.500,0.652,4.004
1.400,0.607,3.857
1.300,0.477,3.174
1.200,0.477,3.125
1.100,0.394,2.588
1.000,0.397,2.637
0.900,0.373,2.490
0.800,0.273,1.855
0.700,0.276,1.855
0.600,0.252,1.758
0.500,0.175,1.318
0.400,0.163,1.270
0.300,0.107,0.977
0.200,0.077,0.781
0.100,-0.003,0.488
0.000,0.003,0.000
0.100,0.000,0.000
0.200,0.030,-0.049
0.300,0.083,0.098
0.400,0.113,0.146
0.500,0.151,0.293
0.600,0.199,0.391
0.700,0.237,0.586
0.800,0.279,0.684
0.900,0.314,0.830
1.000,0.362,1.074
1.100,0.403,1.270
1.200,0.450,1.465
1.300,0.489,1.660
1.400,0.544,1.855
1.500,0.611,2.100
1.600,0.670,2.246
1.700,0.728,2.490
1.800,0.795,2.734
1.900,0.849,2.979
2.000,0.917,3.174
2.100,0.975,3.467
2.200,1.038,3.711
2.300,1.101,4.053
2.400,1.168,4.248
2.500,1.222,4.590
2.600,1.285,4.834
2.700,1.348,5.176
2.800,1.406,5.420
2.900,1.469,5.859
3.000,1.532,6.104
3.100,1.595,6.543
3.200,1.657,6.836
3.300,1.716,7.227
3.400,1.752,7.373
3.500,1.828,8.008
3.600,1.886,8.252
3.700,1.949,8.740
3.800,2.008,9.131
3.900,2.071,9.619
4.000,2.138,10.156
4.100,2.223,10.645
4.200,2.268,11.279
4.300,2.349,11.768
4.400,2.398,12.256
4.500,2.461,12.744
4.600,2.506,13.330
4.700,2.591,13.916
4.800,2.632,14.551
4.900,2.704,14.990
5.000,2.753,15.625
5.100,2.825,16.162
5.200,2.874,16.846
5.300,2.964,17.480
5.400,3.004,18.164
5.500,3.054,18.652
5.600,3.112,19.336
5.700,3.184,19.824
5.800,3.242,20.508
5.900,3.314,21.240
6.000,3.391,22.070
6.100,3.431,22.559
6.200,3.516,23.242
6.300,3.543,23.584
6.400,3.619,24.365
6.500,3.678,24.756
6.600,3.745,25.537
6.700,3.799,25.879
6.800,3.866,26.611
6.900,3.902,26.904
7.000,3.979,27.686
7.100,4.037,28.027
7.200,4.104,28.760
7.300,4.176,29.297
7.400,4.235,29.736
7.500,4.288,30.225
7.600,4.351,30.615
7.700,4.414,31.104
7.800,4.477,31.494
7.900,4.531,31.982
8.000,4.589,32.373
8.100,4.648,32.959
8.200,4.706,33.398
8.300,4.769,33.789
8.400,4.814,34.033
8.500,4.890,34.570
8.600,4.953,35.010
8.700,4.993,35.254
8.800,5.047,35.645
8.900,5.052,35.645
9.000,5.052,35.645
9.100,5.047,35.693
9.200,5.052,35.693
9.300,5.052,35.693
9.400,5.047,35.742
9.500,5.047,35.791
9.600,5.043,35.791
9.700,5.047,35.791
9.800,5.043,35.791
9.900,5.043,35.840
10.000,5.047,35.840
10.100,5.043,35.840
10.000,5.038,35.889
9.900,5.038,35.889
9.800,5.043,35.889
9.700,5.043,35.938
9.600,5.038,35.938
9.500,5.038,35.938
9.400,5.034,35.986
9.300,5.038,35.986
9.200,5.034,35.938
9.100,5.034,35.986
9.000,5.034,35.986
8.900,5.034,35.986
8.800,5.038,36.035
8.700,5.038,36.035
8.600,5.016,36.035
8.500,4.948,35.986
8.400,4.877,35.791
8.300,4.841,35.645
8.200,4.706,35.156
8.100,4.710,35.156
8.000,4.589,34.668
7.900,4.589,34.619
7.800,4.464,34.131
7.700,4.464,34.033
7.600,4.351,33.398
7.500,4.333,33.350
7.400,4.257,32.959
7.300,4.212,32.666
7.200,4.145,32.324
7.100,4.086,31.934
7.000,4.033,31.592
6.900,3.943,31.055
6.800,3.920,30.908
6.700,3.790,30.029
6.600,3.790,29.980
6.500,3.673,29.395
6.400,3.646,29.004
6.300,3.588,28.613
6.200,3.534,28.125
6.100,3.458,27.686
6.000,3.417,27.246
5.900,3.323,26.660
5.800,3.296,26.074
5.700,3.206,25.537
5.600,3.171,25.098
5.500,3.067,24.463
5.400,3.004,23.584
5.300,2.982,23.340
5.200,2.888,22.705
5.100,2.838,21.973
5.000,2.807,21.582
4.900,2.713,21.045
4.800,2.623,19.775
4.700,2.623,19.727
4.600,2.502,18.506
4.500,2.497,18.408
4.400,2.376,17.285
4.300,2.376,17.090
4.200,2.291,16.650
4.100,2.192,15.332
4.000,2.196,15.283
3.900,2.071,14.160
3.800,2.071,13.965
3.700,1.985,13.525
3.600,1.886,12.256
3.500,1.882,12.158
3.400,1.806,11.816
3.300,1.693,10.693
3.200,1.698,10.645
3.100,1.626,10.254
3.000,1.509,9.277
2.900,1.505,9.180
2.800,1.388,8.350
2.700,1.388,8.252
2.600,1.262,7.422
2.500,1.262,7.324
2.400,1.208,7.080
2.300,1.078,6.201
2.200,1.078,6.152
2.100,1.024,5.957
2.000,0.894,5.127
1.900,0.899,5.078
1.800,0.845,4.932
1.700,0.706,4.102
1.600,0.701,4.102
1.500,0.661,3.955
1.400,0.517,3.223
1.300,0.522,3.223
1.200,0.492,3.125
1.100,0.394,2.393
1.000,0.394,2.344
0.900,0.373,2.246
0.800,0.273,1.611
0.700,0.273,1.660
0.600,0.252,1.514
0.500,0.151,0.879
0.400,0.151,0.879
0.300,0.137,0.830
0.200,0.074,0.537
0.100,0.003,0.244
