xref[mm],s[mm],p[bar],u[V],t[ms] 
10.000,3.413,9.280,1.740,10.000
10.000,3.413,9.280,1.740,10.000
10.000,3.412,9.280,1.740,10.000
10.000,3.412,9.280,1.740,10.000
10.000,3.412,9.280,1.740,10.000
10.000,3.412,9.280,1.740,10.000
10.000,3.412,9.300,1.740,10.000
10.000,3.402,9.300,1.740,10.000
10.000,3.401,9.300,1.740,10.000
10.000,3.401,9.300,1.740,10.000
10.000,3.401,9.300,1.740,10.000
10.000,3.401,9.300,1.740,10.000
10.000,3.401,9.300,1.740,10.000
10.000,3.401,9.300,1.740,10.000
10.000,3.400,9.300,1.740,10.000
10.000,3.400,9.300,1.740,10.000
10.000,3.400,9.300,1.740,10.000
10.000,3.400,9.300,1.740,10.000
10.000,3.400,9.300,1.740,10.000
10.000,3.399,9.320,1.740,10.000
10.000,3.390,9.320,1.740,10.000
10.000,3.390,9.320,1.740,10.000
10.000,3.389,9.320,1.740,10.000
10.000,3.389,9.320,1.740,10.000
10.000,3.389,9.320,1.740,10.000
10.000,3.389,9.320,1.740,10.000
10.000,3.389,9.320,1.740,10.000
10.000,3.389,9.320,1.740,10.000
10.000,3.388,9.320,1.740,10.000
10.000,3.388,9.320,1.740,10.000
10.000,3.388,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.378,9.340,1.740,10.000
10.000,3.377,9.340,1.740,10.000
10.000,3.377,9.340,1.740,10.000
10.000,3.377,9.340,1.740,10.000
10.000,3.377,9.340,1.740,10.000
10.000,3.377,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.367,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.360,1.740,10.000
10.000,3.366,9.380,1.740,10.000
10.000,3.356,9.380,1.740,10.000
10.000,3.356,9.380,1.740,10.000
10.000,3.356,9.380,1.740,10.000
10.000,3.356,9.380,1.740,10.000
10.000,3.356,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.355,9.380,1.740,10.000
10.000,3.354,9.380,1.740,10.000
10.000,3.354,9.380,1.740,10.000
10.000,3.354,9.380,1.740,10.000
10.000,3.354,9.380,1.740,10.000
10.000,3.354,9.380,1.740,10.000
10.000,3.354,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
10.000,3.344,9.400,1.740,10.000
