xref[mm],s[mm],p[bar],u[V],t[ms] 
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.760,1.860,10.000
10.000,3.651,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.641,8.780,1.860,10.000
10.000,3.642,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.800,1.860,10.000
10.000,3.632,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.820,1.860,10.000
10.000,3.622,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.840,1.860,10.000
10.000,3.613,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.860,1.860,10.000
10.000,3.603,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.880,1.860,10.000
10.000,3.594,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.900,1.860,10.000
10.000,3.584,8.920,1.860,10.000
10.000,3.574,8.920,1.860,10.000
10.000,3.574,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.920,1.860,10.000
10.000,3.575,8.940,1.860,10.000
