xref[mm],s[mm],p[bar],u[V],t[ms] 
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.660,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.683,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.140,0.680,10.000
4.395,1.670,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.670,3.140,0.680,10.000
4.395,1.693,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.140,0.680,10.000
4.395,1.670,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.693,3.140,0.680,10.000
4.395,1.671,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.661,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.160,0.680,10.000
4.395,1.684,3.160,0.680,10.000
4.395,1.662,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
4.395,1.694,3.140,0.680,10.000
4.395,1.671,3.140,0.680,10.000
